city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$)
Belo Horizonte,42,1,1,1,17,not acept,furnished,470,2690,172,36,3368
Belo Horizonte,64,2,2,1,11,acept,not furnished,352,1500,80,20,1952
Belo Horizonte,80,3,2,1,7,acept,not furnished,0,11000,425,181,11610
Belo Horizonte,200,4,2,1,7,not acept,not furnished,850,2550,9,34,3443
Belo Horizonte,45,1,1,1,5,acept,not furnished,500,1631,192,12,2335
Belo Horizonte,100,3,1,0,13,not acept,not furnished,700,1220,10,17,1947
Belo Horizonte,220,4,2,3,3,acept,not furnished,450,2422,125,33,3030
Belo Horizonte,128,1,1,0,4,acept,furnished,418,2100,182,28,2728
Belo Horizonte,170,4,3,4,9,not acept,not furnished,744,2700,296,36,3776
Belo Horizonte,68,2,1,1,3,acept,not furnished,320,1200,27,16,1563
Belo Horizonte,75,2,2,2,14,not acept,not furnished,620,2500,264,34,3418
Belo Horizonte,296,4,3,2,7,acept,not furnished,0,13500,423,222,14150
Belo Horizonte,400,4,2,2,7,not acept,not furnished,0,2500,74,41,2615
Belo Horizonte,100,3,2,2,2,acept,not furnished,340,1600,183,22,2145
Belo Horizonte,95,2,2,1,3,acept,not furnished,660,1600,164,22,2446
Belo Horizonte,100,2,1,1,1,not acept,not furnished,250,1700,116,23,2089
Belo Horizonte,50,2,1,1,1,acept,not furnished,160,930,60,13,1163
Belo Horizonte,200,3,2,5,7,not acept,not furnished,0,4000,204,66,4270
Belo Horizonte,90,2,2,2,3,acept,not furnished,200,2000,84,27,2311
Belo Horizonte,45,1,1,1,4,not acept,furnished,300,3200,0,43,3543
Belo Horizonte,85,3,2,1,1,acept,not furnished,337,1500,88,20,1945
Belo Horizonte,90,3,2,2,3,acept,not furnished,325,1600,105,22,2052
Belo Horizonte,50,2,1,0,5,acept,not furnished,0,900,100,12,1012
Belo Horizonte,300,3,2,3,7,not acept,not furnished,0,6700,539,110,7349
Belo Horizonte,180,4,2,2,7,acept,not furnished,0,1800,210,30,2040
Belo Horizonte,420,4,4,2,7,not acept,not furnished,0,7000,200,115,7315
Belo Horizonte,59,2,2,1,2,acept,not furnished,190,1100,59,15,1364
Belo Horizonte,95,2,1,1,3,acept,not furnished,646,1000,120,14,1780
Belo Horizonte,308,2,3,3,7,acept,not furnished,0,2000,171,33,2204
Belo Horizonte,40,1,1,0,7,not acept,not furnished,0,900,0,15,915
Belo Horizonte,320,4,2,4,7,acept,not furnished,0,3200,206,53,3459
Belo Horizonte,125,3,2,0,2,acept,not furnished,150,1200,69,16,1435
Belo Horizonte,135,4,3,2,2,not acept,not furnished,868,2450,308,33,3659
Belo Horizonte,19,1,1,0,5,acept,not furnished,620,1100,85,15,1820
Belo Horizonte,15,1,1,0,3,not acept,furnished,0,1100,0,15,1115
Belo Horizonte,96,3,2,1,2,acept,not furnished,922,1500,137,20,2579
Belo Horizonte,105,3,2,2,2,not acept,not furnished,1681,3300,390,44,5415
Belo Horizonte,75,3,2,1,4,acept,not furnished,600,1500,75,20,2195
Belo Horizonte,105,3,2,2,7,acept,not furnished,1170,2000,219,27,3416
Belo Horizonte,113,4,2,1,3,acept,not furnished,1587,4000,429,54,6070
Belo Horizonte,168,5,3,2,2,acept,not furnished,1443,2900,408,39,4790
Belo Horizonte,67,1,1,0,13,acept,not furnished,375,850,55,12,1292
Belo Horizonte,90,2,1,1,7,not acept,not furnished,0,1520,0,25,1545
Belo Horizonte,312,4,3,3,1,acept,not furnished,1498,2300,463,31,4292
Belo Horizonte,160,3,3,2,4,acept,not furnished,150,2400,263,32,2845
Belo Horizonte,45,2,1,0,7,acept,not furnished,0,1350,0,23,1373
Belo Horizonte,123,3,2,1,3,acept,not furnished,363,2600,143,35,3141
Belo Horizonte,417,3,5,8,7,acept,not furnished,0,7650,450,126,8226
Belo Horizonte,193,4,2,2,7,acept,not furnished,0,8900,255,146,9301
Belo Horizonte,500,7,4,4,7,acept,not furnished,0,5500,167,91,5758
Belo Horizonte,300,5,5,5,7,not acept,not furnished,0,4500,450,74,5024
Belo Horizonte,100,1,1,0,1,acept,not furnished,0,2600,0,35,2635
Belo Horizonte,90,2,2,2,4,not acept,furnished,500,4000,250,54,4804
